réponse,label
"Le déversement est un phénomène d'instabilité latérale qui affecte les poutres métalliques non maintenues latéralement.",0
"Quand une poutre fléchit, elle peut se tordre sur le côté si pas maintenue",1
"La résistance au voilement par cisaillement est notée V_bw,Rd selon l'EC3.",0
"V_bw,Rd c'est la résistance au cisaillement avec voilement",1
"Le moment critique de déversement Mcr se calcule avec C1, C2, C3 selon les conditions aux limites.",0
"Pour Mcr, faut utiliser les coeffs C1 C2 C3 qui dépendent des appuis",1
"Les sections de classe 4 nécessitent le calcul de caractéristiques efficaces.",0
"Pour les sections classe 4, on utilise une section réduite efficace",1
"Le coefficient partiel de sécurité pour l'instabilité est γ_M1 = 1.0",0
"Le coeff de sécurité γ_M1 vaut 1 pour l'instabilité",1
"L'élancement réduit λ_LT détermine la courbe de déversement (a, b, c ou d).",0
"Lambda LT réduit dit si la poutre est plus ou moins sensible au déversement",1
"Le centre de cisaillement est le point où l'application d'une charge ne provoque pas de torsion.",0
"Si tu charges au centre de cisaillement, la poutre ne tourne pas",1
"La vérification de résistance au déversement s'effectue avec M_Ed ≤ M_b,Rd.",0
"Faut vérifier que le moment appliqué est inférieur à la résistance en déversement",1
"Pour les profilés laminés, la courbe de déversement dépend du rapport h/b.",0
"Plus h/b est grand, plus la poutre est sensible au déversement",1
"Le voilement local est lié à l'élancement des parois comprimées.",0
"Quand les plaques sont trop minces, elles peuvent flamber localement",1
"La classe d'une section dépend de l'élancement de l'âme et des semelles.",0
"La classe de la section se détermine par c/t de l'âme et des semelles",1
"Le module de résistance plastique W_pl est utilisé pour les sections de classe 1 et 2.",0
"Pour les sections classe 1-2, on utilise W_pl dans les calculs",1
"La méthode générale de calcul du moment critique est donnée à l'annexe de l'EC3.",0
"Le calcul de Mcr est expliqué dans l'annexe de la norme",1
"Les raidisseurs transversaux augmentent la résistance au voilement de l'âme.",0
"Avec des raidisseurs, l'âme résiste mieux au voilement",1
"Le déversement peut être négligé lorsque la poutre est maintenue latéralement.",0
"Si la poutre est bien maintenue sur les côtés, pas de problème de déversement",1
"Le coefficient k_w est pris égal à 1 pour les sections doublement symétriques.",0
"Pour les sections symétriques, k_w = 1",1
"La résistance plastique M_pl,Rd = W_pl * f_y / γ_M0.",0
"Le moment résistant plastique se calcule avec W_pl fois fy sur gamma M0",1
"L'élancement λ_w = h_w / t_w pour le voilement par cisaillement.",0
"Lambda w c'est h_w sur t_w pour le cisaillement",1
"La méthode de la section efficace s'applique aux sections de classe 4.",0
"Pour les sections classe 4, on utilise la section efficace",1
"Le coefficient réducteur χ_LT dépend de l'élancement réduit et de la courbe de déversement.",0
"Chi LT réduit la résistance en fonction de lambda LT et de la courbe",1
"La vérification d'une poutre au déversement nécessite le calcul de M_b,Rd.",0
"Pour vérifier une poutre au déversement, faut calculer Mb,Rd",1
"Les charges appliquées à la semelle supérieure sont plus défavorables pour le déversement.",0
"Si tu charges la semelle supérieure, ça aggrave le déversement",1
"Le paramètre z_g représente la distance entre le point d'application de la charge et le centre de cisaillement.",0
"z_g c'est la distance entre où tu appliques la charge et le centre de cisaillement",1
"La rigidité torsionnelle est caractérisée par l'inertie de torsion I_t.",0
"La rigidité en torsion dépend de I_t",1
"La constante de gauchissement I_w influence la résistance au déversement.",0
"Le gauchissement I_w joue sur la résistance au déversement",1
"La formule générale de Mcr fait intervenir les paramètres géométriques et les conditions aux limites.",0
"La formule de Mcr est complexe avec tous les paramètres géométriques",1
"La courbe de déversement est sélectionnée selon le Tableau 6.4 de l'EC3.",0
"On choisit la courbe de déversement avec le tableau 6.4 de l'EC3",1
"Le coefficient α_LT caractérise l'imperfection initiale équivalente.",0
"Alpha LT représente les imperfections initiales",1
"La méthode simplifiée utilise χ_LT,mod pour tenir compte de la forme du diagramme de moments.",0
"La méthode simplifiée utilise chi LT modifié",1
"Le coefficient β_w vaut 1 pour les sections de classe 1 et 2.",0
"Pour les sections classe 1-2, beta w = 1",1
"La vérification au voilement de l'âme sous flexion et effort tranchant nécessite une interaction.",0
"Quand y'a flexion et cisaillement, faut vérifier l'interaction",1
"Les raidisseurs d'extrémité doivent être rigides pour assurer leur efficacité.",0
"Les raidisseurs aux appuis doivent être très rigides",1
"La longueur efficace l_eff pour la résistance aux efforts transversaux est calculée avec χ_F.",0
"La longueur efficace se calcule avec chi F",1
"La méthode de calcul de la section efficace fait intervenir le coefficient réducteur ρ.",0
"Pour la section efficace, on utilise un coeff réducteur rho",1
"L'élancement maximal pour une semelle de classe 1 est 9ε selon le tableau 5.2.",0
"Pour les semelles classe 1, c/t doit être ≤ 9ε",1
"La résistance de calcul au cisaillement V_c,Rd = A_v * f_y / (√3 * γ_M0).",0
"La résistance au cisaillement se calcule avec A_v fy sur racine de 3 gamma M0",1
"Le paramètre k_τ pour le voilement par cisaillement dépend du rapport a/h_w.",0
"Le coeff k_tau dépend du rapport a sur h_w",1
"La vérification de l'interaction M-V s'effectue avec η_1 + (1 - M_f,Rd/M_pl,Rd) * η_3 ≤ 1.",0
"L'interaction M-V se vérifie avec une formule compliquée avec eta1 et eta3",1
"Le béton armé est un matériau composite constitué de béton et d'acier.",0
"Le béton armé c'est du béton avec des barres en acier à l'intérieur",1
"La limite d'élasticité de l'acier S235 est de 235 MPa.",0
"L'acier S235 a une limite élastique de 235 MPa",1
"La contrainte normale maximale se calcule par σ = M/I * v.",0
"La contrainte max en flexion c'est M fois y sur I",1
"L'inertie d'une section rectangulaire est bh³/12.",0
"Pour un rectangle, I = largeur * hauteur³ / 12",1
"Le module de résistance élastique W_el = I/v.",0
"W_el c'est I divisé par la distance à la fibre la plus éloignée",1
"La formule du moment fléchissant pour une poutre sur deux appuis est M = pl²/8.",0
"Pour une poutre simple, le moment max est pL²/8",1
"La condition de non-voilement d'une âme est h_w/t_w ≤ 72ε.",0
"Pour éviter le voilement, h_w/t_w doit être inférieur à 72ε",1
"Le coefficient de sécurité γ_M0 est pris égal à 1.0 pour la résistance des sections.",0
"Gamma M0 = 1 pour la résistance des sections",1
"La résistance plastique d'une section symétrique est atteinte lorsque toute la section est plastifiée.",0
"La résistance plastique c'est quand toute la section a atteint la limite élastique",1
"La courbe de déversement 'b' s'applique aux profilés laminés en I avec 2 < h/b ≤ 3.1.",0
"Pour les IPE, on utilise souvent la courbe b pour le déversement",1
"Le facteur d'imperfection α_LT vaut 0.34 pour la courbe b.",0
"Alpha LT = 0.34 pour la courbe b",1
"La vérification au flambement nécessite le calcul du coefficient de réduction χ.",0
"Pour le flambement, faut calculer chi le coefficient réducteur",1
