Déterminer la résistance axiale R,"La résistance axiale se calcule par R = N / A, avec N la force normale et A la section",1
Calculer la contrainte normale σ,"σ = N / A avec N = 45kN et A = 1200 mm² donc σ = 37,5 MPa",1
Donner l’expression du moment fléchissant,"Le moment fléchissant est M = F × l",1
Calculer l’élancement λ d’une tige,"λ = L / i avec i = √(I / A)",1
Déterminer la contrainte de flambement,"σe = π² × E / λ²",1
Déduire le risque de flambement,"Le risque est élevé si λ > λlim = 100",1
Vérifier la contrainte admissible,"σ ≤ σadm, ici σ = 37 MPa et σadm = 160 MPa donc vérification OK",1
Calculer l’inertie minimale,"Imin = (π² × E × A × L²) / σadm",1
Déterminer le centre de gravité,"Le centre de gravité est au centre de la section si symétrique",1
Calculer le moment quadratique I,"I = (b × h³) / 12 pour une section rectangulaire",1
Donner la formule de σmax,"σmax = M × y / I",1
Estimer la flèche maximale,"fmax = (5 × q × L⁴) / (384 × E × I)",1
Déterminer la tension dans la tige,"La tension est T = σ × A",1
Évaluer la sécurité structurelle,"On vérifie que toutes les contraintes sont < admissibles",1
Donner la valeur critique de flambement,"Ncr = π² × E × I / L²",1
Calculer la section A,"A = π × D² / 4 pour un rond plein",1
Déterminer la charge admissible,"Nadm = σadm × A",1
Comparer la contrainte réelle à la limite,"Si σréelle < σlim, le matériau tient",1
Calculer la contrainte de flexion,"σ = M × y / I",1
Donner la formule de moment statique,"S = A × ȳ",1
Calculer le module de flexion,"W = I / y",1
Déterminer la contrainte combinée,"σ = N / A ± M × y / I",1
Vérifier le flambement selon Euler,"On utilise Ncr = π² × E × I / L²",1
Donner la rigidité EI,"EI est le produit du module d’Young et de l’inertie",1
Calculer la raideur axiale,"k = EA / L",1
Calculer la raideur en flexion,"k = 3EI / L³ pour une poutre encastrée-libre",1
Estimer la rotation d’une poutre,"θ = M × L / (2EI)",1
Exprimer le déplacement axial,"u = N × L / (EA)",1
Donner l’effort tranchant,"V = dM/dx",1
Utiliser le théorème de Castigliano,"∂U/∂F = déplacement en direction de F",1
Déterminer l’effort interne,"Selon la coupe, on a N, M ou T",1
Appliquer le diagramme des moments,"Tracer M(x) en intégrant V(x)",1
Calculer la déformation ε,"ε = σ / E",1
Déterminer le module de cisaillement,"G = E / [2(1 + ν)]",1
Donner la contrainte de cisaillement,"τ = V × S / (I × b)",1
Utiliser le critère de Von Mises,"σeq = √(σx² + 3τ²)",1
Déduire la capacité portante,"Selon σlim ou critère de ruine",1
Calculer une charge uniformément répartie,"q = w × L",1
Déterminer le point d’application de la charge,"Au centre pour charge répartie uniforme",1
Vérifier la section par flexion,"σmax = M × y / I ≤ σadm",1
